"CareWell Home Health Inc","healthcare","142160","92840","2820","167616","10","12630 Brookhurst St. Ste E","","CareWell Home Health Inc"
"","individuals","167617","91387","2820","167617","1","","",""
"West Convina Health Care Center","healthcare","140072","91790","2820","167618","50","850 S. Sunkist Ave","",""
"","individuals","167619","92336","2820","167619","4","","",""
"Rosecrans Care Center","healthcare","129478","90247","2820","167620","150","1140 W Rosecrans Ave","",""
"","individuals","167621","92103","2820","167621","2","","",""
"","individuals","167622","94707","2820","167622","4","","",""
"Covenant Care","seniors","162496","92656","2820","167623","150","120 Vantis Drive Suite 200","",""
"","individuals","158334","91324","2820","167624","4","","",""
"Chino Valley Medical Center","healthcare","32080","91710","2820","167625","50","5451 Walnut","","Prime Health Care"
"Montclair Hospital Medical Center","healthcare","26249","91763","2820","167626","50","5000 San Bernardino St","","Prime Health Care"
"Shoreline Care Center","seniors","166273","93033","2820","167627","20","5225 South J Street","","Shoreline Care Center"
"Magnolia Surgery Center","healthcare","6067","92683","2820","167628","20","14571 Magnolia Street","Suite #107","USPI"
"","individuals","167629","91733","2820","167629","4","","",""
"","individuals","167630","94010","2820","167630","11","","",""
"","individuals","167631","94110","2820","167631","2","","",""
"Triage-Partners CA LLC","businesses","47762","90723","2820","167632","73","15731 Texaco Avenue","",""
"","individuals","167633","94539","2820","167633","2","","",""
"Casa Youth Shelter","nonprofits","120865","90720","2820","167634","25","10911 Reagan Street","",""
"","individuals","167635","92626","2820","167635","5","","",""
"","individuals","167636","93560","2820","167636","5","","",""
"","individuals","167637","90036","2820","167637","4","","",""
"Archway Dialysis of Modesto","healthcare","140266","95356","2820","167638","28","3001 Healthcare way suite 102","","DaVita Healthcare"
"Covina Police Department","local","31345","91723","2820","167639","12","444 N. Citrus Ave.","","City of Covina"
"Disneyland Resort Guest Health Services","businesses","60946","92802","2820","167640","25","1313 S. Harbor Blvd","","Walt Disney Company"
"American Family Housing","nonprofits","109591","92655","2820","167641","30","","",""
"Huntington Park Nursing Center","seniors","167642","90255","2820","167642","40","6425 Miles Ave","","Covenant Care"
"wagner Heights Nursing and Rehabilitation Center","seniors","167105","95209","2820","167643","6","9289 Branstetter PLace","",""
"Urban Adamah","nonprofits","167644","94710","2820","167644","20","1151 6th St","",""
"Maxim Healthcare Services","healthcare","119605","91768","2820","167645","28","201 Corporate Center Drive","Sutie 210",""
"Palermo Middle School","schools","167646","95968","2820","167646","396","7390 Bulldog Way","","Palermo Union School District"
"Health Essentials Resource and Services Inc dba Essentials Home Health","healthcare","167647","94545","2820","167647","14","24301 Southland Drive Suite 611","",""
"Essentials Hospice","healthcare","167648","94545","2820","167648","14","24301 Southland Drive Suite 618","",""
"Burbank Elementary School","schools","41740","95351","2820","167649","600","","","Modesto City Schools"
"Rossmoor Emergency Preparedness Organization","seniors","160785","94595","2820","167650","3000","4503 Terra Granada Drive","3B",""
"Del Webb Rancho Mirage","preparedness","167651","92270","2820","167651","50","122 Claret","",""
"County of Shasta Information Technology Department","local","167652","96001","2820","167652","47","1450 Court Street, Suite 124","","County of Shasta"
"Inglewood Health Care Center","healthcare","136156","90301","2820","167653","62","100 S HILL CREST BLVD","","Inglewood Health Care Center"
"The Junior League of Los Angeles","nonprofits","167654","90004","2820","167654","150","630 N. Larchmont Blvd","",""
"Compassionate Hearts Hospice, Inc.","healthcare","130451","91773-3048","2820","167655","6","237 W. Bonita Ave","Suite E",""
"Bristol Hospice-Merced California","healthcare","167656","95340","2820","167656","45","374 East Yosemite Avenue, Suite 200","","Bristol Hospice"
"ATTA Healthcare Inc. DBA ATTA Home Healthcare","healthcare","167657","95355","2820","167657","6","1316 Coffee Road, Bldg 2","",""
"","healthcare","167658","95209","2820","167658","12","","",""
"VISALIA AMBULATORY AND SURGICAL CENTER, LLC","healthcare","44724","93277","2820","167659","5","","",""
"Solid Rock Recovery","healthcare","167660","93444","2820","167660","30","230 Hans Place","",""
"","seniors","167661","95010","2820","167661","120","","",""
"","individuals","167662","90016","2820","167662","2","","",""
"","individuals","167663","93306","2820","167663","10","","",""
"West Wilshire Medical - ASC","healthcare","167664","90025","2820","167664","8","11645 Wilshire Blvd","STE 600",""
"","individuals","167665","95521","2820","167665","1","","",""
"","individuals","167666","92009","2820","167666","1","","",""
"Buena Vista Care Center","healthcare","165153","93111","2820","167667","60","160 S Patterson Ave","",""
"Pasadena City College","colleges","15128","91106","2820","167668","30600","1570 E. Colorado Blvd.","","Pasadena Area Community College District"
"","individuals","167669","95521","2820","167669","1","","",""
"Monarch Palliative Care, Inc.","healthcare","79786","90640","2820","167670","15","433 N. 4th Avenue, Ste. 214","","Monarch Palliative Care, Inc."
"Hancock Park Surgery Center","healthcare","129377","90004","2820","167671","5","321 N LARCHMONT BLVD # 1011","",""
"Angel's Arms Home Health Services, Inc.","healthcare","167672","91042","2820","167672","4","7414 Foothill Blvd.","","Angel's Arms Home Health Services, Inc."
"Medi-Art Home Health Care","healthcare","133356","90640","2820","167674","3","","",""
"The Heights Charter","schools","156254","91901","2820","167675","270","2710 Alpine Blvd.","Ste E",""
"","individuals","167676","93960","2820","167676","6","","",""
"Soka Gakkai International","nonprofits","167677","90401","2820","167677","75","606 Wilshire Blvd","",""
"Apex Ambulatory Surgery Center, LLC","healthcare","162119","94404","2820","167678","8","1241 E Hillsdale Blvd Ste 210","",""
"Marting Luther King Community Hosptital","healthcare","162425","90059","2820","167680","25","1680 e 120th st","",""
"Oriental Motor USA Corporation","businesses","73528","90503","2820","167681","45","","",""
"Gilroy Healthcare and Rehabilitation Center","seniors","162933","95020","2820","167682","70","8170 Murray Ave","","Covenant Care"
"","individuals","167683","92501","2820","167683","1","","",""
"BVA Hospice Care Inc.","healthcare","131401","91203","2820","167684","6","315 Arden Ave., Suite 25","",""
"Diablo Canyon Power Plant Emergency Planning","science","94430","93405","2820","167685","40","1525 Kansas Ave","","Pacific Gas & Electric Company"
"","individuals","167686","93550","2820","167686","8","","",""
"SouthernCAEarthquakes","media","164704","90620","2820","167687","10","","",""
"","individuals","167689","93907","2820","167689","3","","",""
"Directed Interventional Medical Center","healthcare","156146","90292-6536","2820","167690","6","2827 Wilshire Blvd","1st Floor Surgery Center","DISC Surgery Center"
"HealthCare California Hospice","healthcare","167216","93710","2820","167691","8","6327 N Fresno Street","Suite 104b",""
"FKC San Jose Hills","healthcare","167692","91744","2820","167692","10","","",""
"Shoreline Surgery Center","healthcare","140809","90807","2820","167693","10","4300 Long Beach Blvd, Suite 150","Suite 150","Shoreline Surgery Center"
"Loma Linda University Health","healthcare","4463","92373","2820","167694","16000","11234 Anderson st","","Loma Linda University"
"Colusa County Sheriff's Office","local","25717","95932","2820","167695","10","929 Bridge Street","","County of Colusa"
"","individuals","167696","90034","2820","167696","1","","",""
"","individuals","167697","95060","2820","167697","1","","",""
"","individuals","167698","95521","2820","167698","1","","",""
"","individuals","167699","95521","2820","167699","1","","",""
"Gentle Touch Hospice, Inc","healthcare","167700","91344","2820","167700","7","15600 Devonshire St., Suite 207","",""
"Humboldt State University","colleges","167701","95521","2820","167701","2","355 Granite Ave #4920","","Humboldt State University"
"","individuals","167702","95521","2820","167702","1","","",""
"Bridge Home Health Orange County","healthcare","167703","92705","2820","167703","15","400 N Tustin","Suite 263",""
"","individuals","88074","95655","2820","167704","3","","",""
"","individuals","167705","93924","2820","167705","2","","",""
"","individuals","167706","92602","2820","167706","2","","",""
"Zendesk","businesses","153624","94103","2820","167707","200","","",""
"New Directions For Veterans","nonprofits","67928","90073","2820","167708","160","11303 Pershing Ave","Building 116",""
"","individuals","167709","92840","2820","167709","4","","",""
"","individuals","167710","95112","2820","167710","1","","",""
"","individuals","167711","92127","2820","167711","3","","",""
"","individuals","167712","94141","2820","167712","1","","",""
"","individuals","167713","90280","2820","167713","4","","",""
"Valley Palms Care Center","healthcare","136253","91605","2820","167714","50","13400 Sherman Way","",""
"","individuals","167715","92562","2820","167715","1","","",""
"","individuals","167716","92354","2820","167716","4","","",""
"","individuals","167717","95540","2820","167717","1","","",""
"","individuals","167718","95521","2820","167718","1","","",""
